day,room,baseline_file,candidate_file,baseline_rows,candidate_rows,windows_matched,windows_changed,minutes_changed,episodes_baseline,episodes_candidate,episodes_added,episodes_removed,transition_counts
4,bedroom,HK0011_jessica_train_4dec2025.xlsx,HK0011_jessica_train_4dec2025.xlsx,8178,8178,8178,1461,243.5,6,63,57,0,"{""bedroom_normal_use->unoccupied"": 290, ""sleep->unoccupied"": 149, ""unoccupied->bedroom_normal_use"": 195, ""unoccupied->sleep"": 827}"
4,livingroom,HK0011_jessica_train_4dec2025.xlsx,HK0011_jessica_train_4dec2025.xlsx,8162,8162,8162,2242,373.6666666666667,17,77,60,0,"{""livingroom_normal_use->unoccupied"": 2075, ""unoccupied->livingroom_normal_use"": 167}"
4,kitchen,HK0011_jessica_train_4dec2025.xlsx,HK0011_jessica_train_4dec2025.xlsx,8146,8146,8146,274,45.666666666666664,15,79,64,0,"{""kitchen_normal_use->unoccupied"": 154, ""unoccupied->kitchen_normal_use"": 120}"
4,bathroom,HK0011_jessica_train_4dec2025.xlsx,HK0011_jessica_train_4dec2025.xlsx,8161,8161,8161,1074,179.0,9,93,84,0,"{""bathroom_normal_use->unoccupied"": 47, ""shower->bathroom_normal_use"": 59, ""shower->unoccupied"": 46, ""unoccupied->bathroom_normal_use"": 922}"
4,entrance,HK0011_jessica_train_4dec2025.xlsx,HK0011_jessica_train_4dec2025.xlsx,8085,8085,8085,0,0.0,3,3,0,0,{}
5,bedroom,HK0011_jessica_train_5dec2025.xlsx,HK0011_jessica_train_5dec2025.xlsx,8168,8168,8168,1199,199.83333333333334,12,67,55,0,"{""bedroom_normal_use->unoccupied"": 294, ""unoccupied->bedroom_normal_use"": 195, ""unoccupied->sleep"": 710}"
5,livingroom,HK0011_jessica_train_5dec2025.xlsx,HK0011_jessica_train_5dec2025.xlsx,8109,8109,8109,2665,444.1666666666667,27,87,60,0,"{""livingroom_normal_use->unoccupied"": 2592, ""unoccupied->livingroom_normal_use"": 73}"
5,kitchen,HK0011_jessica_train_5dec2025.xlsx,HK0011_jessica_train_5dec2025.xlsx,8075,8075,8075,923,153.83333333333334,15,111,96,0,"{""kitchen_normal_use->unoccupied"": 565, ""unoccupied->kitchen_normal_use"": 358}"
5,bathroom,HK0011_jessica_train_5dec2025.xlsx,HK0011_jessica_train_5dec2025.xlsx,8106,8106,8106,884,147.33333333333334,7,141,134,0,"{""bathroom_normal_use->unoccupied"": 96, ""shower->bathroom_normal_use"": 52, ""shower->unoccupied"": 10, ""unoccupied->bathroom_normal_use"": 726}"
5,entrance,HK0011_jessica_train_5dec2025.xlsx,HK0011_jessica_train_5dec2025.xlsx,8058,8058,8058,0,0.0,1,1,0,0,{}
6,bedroom,HK0011_jessica_train_6dec2025.xlsx,HK0011_jessica_train_6dec2025.xlsx,7328,7328,7328,2107,351.1666666666667,2,34,32,0,"{""unoccupied->bedroom_normal_use"": 465, ""unoccupied->sleep"": 1642}"
6,livingroom,HK0011_jessica_train_6dec2025.xlsx,HK0011_jessica_train_6dec2025.xlsx,7392,7392,7392,2154,359.0,23,105,82,0,"{""livingroom_normal_use->unoccupied"": 1963, ""unoccupied->livingroom_normal_use"": 191}"
6,kitchen,HK0011_jessica_train_6dec2025.xlsx,HK0011_jessica_train_6dec2025.xlsx,7334,7334,7334,690,115.0,23,159,136,0,"{""kitchen_normal_use->unoccupied"": 618, ""unoccupied->kitchen_normal_use"": 72}"
6,bathroom,HK0011_jessica_train_6dec2025.xlsx,HK0011_jessica_train_6dec2025.xlsx,7272,7272,7272,411,68.5,11,172,161,0,"{""bathroom_normal_use->unoccupied"": 12, ""shower->bathroom_normal_use"": 2, ""shower->unoccupied"": 6, ""unoccupied->bathroom_normal_use"": 391}"
6,entrance,HK0011_jessica_train_6dec2025.xlsx,HK0011_jessica_train_6dec2025.xlsx,7346,7346,7346,0,0.0,1,1,0,0,{}
7,bedroom,HK0011_jessica_train_7dec2025.xlsx,HK0011_jessica_train_7dec2025.xlsx,7586,7586,7586,2599,433.1666666666667,23,146,123,0,"{""bedroom_normal_use->unoccupied"": 530, ""sleep->unoccupied"": 17, ""unoccupied->bedroom_normal_use"": 250, ""unoccupied->sleep"": 1802}"
7,livingroom,HK0011_jessica_train_7dec2025.xlsx,HK0011_jessica_train_7dec2025.xlsx,7600,7600,7600,2517,419.5,31,129,98,0,"{""livingroom_normal_use->unoccupied"": 2369, ""unoccupied->livingroom_normal_use"": 148}"
7,kitchen,HK0011_jessica_train_7dec2025.xlsx,HK0011_jessica_train_7dec2025.xlsx,7594,7594,7594,533,88.83333333333333,31,133,102,0,"{""kitchen_normal_use->unoccupied"": 327, ""unoccupied->kitchen_normal_use"": 206}"
7,bathroom,HK0011_jessica_train_7dec2025.xlsx,HK0011_jessica_train_7dec2025.xlsx,7572,7572,7572,510,85.0,15,133,118,0,"{""bathroom_normal_use->unoccupied"": 4, ""shower->bathroom_normal_use"": 95, ""shower->unoccupied"": 54, ""unoccupied->bathroom_normal_use"": 357}"
7,entrance,HK0011_jessica_train_7dec2025.xlsx,HK0011_jessica_train_7dec2025.xlsx,7619,7619,7619,0,0.0,1,1,0,0,{}
8,bedroom,HK0011_jessica_train_8dec2025.xlsx,HK0011_jessica_train_8dec2025.xlsx,8089,8089,8089,2477,412.8333333333333,16,101,85,0,"{""bedroom_normal_use->unoccupied"": 543, ""sleep->bedroom_normal_use"": 1, ""sleep->unoccupied"": 2, ""unoccupied->bedroom_normal_use"": 436, ""unoccupied->sleep"": 1495}"
8,livingroom,HK0011_jessica_train_8dec2025.xlsx,HK0011_jessica_train_8dec2025.xlsx,8099,8099,8099,4060,676.6666666666666,25,169,144,0,"{""livingroom_normal_use->unoccupied"": 3745, ""unoccupied->livingroom_normal_use"": 315}"
8,kitchen,HK0011_jessica_train_8dec2025.xlsx,HK0011_jessica_train_8dec2025.xlsx,8108,8108,8108,1008,168.0,37,153,116,0,"{""kitchen_normal_use->unoccupied"": 511, ""unoccupied->kitchen_normal_use"": 497}"
8,bathroom,HK0011_jessica_train_8dec2025.xlsx,HK0011_jessica_train_8dec2025.xlsx,8089,8089,8089,524,87.33333333333333,11,161,150,0,"{""bathroom_normal_use->unoccupied"": 25, ""unoccupied->bathroom_normal_use"": 493, ""unoccupied->shower"": 6}"
8,entrance,HK0011_jessica_train_8dec2025.xlsx,HK0011_jessica_train_8dec2025.xlsx,8113,8113,8113,0,0.0,1,1,0,0,{}
9,bedroom,HK0011_jessica_train_9dec2025.xlsx,HK0011_jessica_train_9dec2025.xlsx,7599,7599,7599,1547,257.8333333333333,12,61,49,0,"{""bedroom_normal_use->unoccupied"": 743, ""unoccupied->bedroom_normal_use"": 804}"
9,livingroom,HK0011_jessica_train_9dec2025.xlsx,HK0011_jessica_train_9dec2025.xlsx,7545,7545,7545,3121,520.1666666666666,13,103,90,0,"{""livingroom_normal_use->unoccupied"": 3036, ""unoccupied->livingroom_normal_use"": 85}"
9,kitchen,HK0011_jessica_train_9dec2025.xlsx,HK0011_jessica_train_9dec2025.xlsx,7584,7584,7584,433,72.16666666666667,17,119,102,0,"{""kitchen_normal_use->unoccupied"": 194, ""unoccupied->kitchen_normal_use"": 239}"
9,bathroom,HK0011_jessica_train_9dec2025.xlsx,HK0011_jessica_train_9dec2025.xlsx,7585,7585,7585,632,105.33333333333333,7,111,104,0,"{""bathroom_normal_use->unoccupied"": 2, ""shower->bathroom_normal_use"": 30, ""shower->unoccupied"": 20, ""unoccupied->bathroom_normal_use"": 580}"
9,entrance,HK0011_jessica_train_9dec2025.xlsx,HK0011_jessica_train_9dec2025.xlsx,7587,7587,7587,0,0.0,1,1,0,0,{}
10,bedroom,HK0011_jessica_train_10dec2025.xlsx,HK0011_jessica_train_10dec2025.xlsx,7340,7340,7340,2512,418.6666666666667,13,82,69,0,"{""bedroom_normal_use->unoccupied"": 396, ""unoccupied->bedroom_normal_use"": 323, ""unoccupied->sleep"": 1793}"
10,livingroom,HK0011_jessica_train_10dec2025.xlsx,HK0011_jessica_train_10dec2025.xlsx,7260,7260,7260,1136,189.33333333333334,19,97,78,0,"{""livingroom_normal_use->unoccupied"": 1095, ""unoccupied->livingroom_normal_use"": 41}"
10,kitchen,HK0011_jessica_train_10dec2025.xlsx,HK0011_jessica_train_10dec2025.xlsx,7361,7361,7361,425,70.83333333333333,19,123,104,0,"{""kitchen_normal_use->unoccupied"": 322, ""unoccupied->kitchen_normal_use"": 103}"
10,bathroom,HK0011_jessica_train_10dec2025.xlsx,HK0011_jessica_train_10dec2025.xlsx,7270,7270,7270,544,90.66666666666667,11,117,106,0,"{""bathroom_normal_use->unoccupied"": 52, ""shower->bathroom_normal_use"": 80, ""shower->unoccupied"": 21, ""unoccupied->bathroom_normal_use"": 391}"
10,entrance,HK0011_jessica_train_10dec2025.xlsx,HK0011_jessica_train_10dec2025.xlsx,7298,7298,7298,0,0.0,1,1,0,0,{}
